Order ID,Date,Status,Fulfilment,Sales Channel,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code
405-7734277-9161922,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,1112,HUBBALLI,KARNATAKA,580032
408-5534448-8405145,27-04-2022,Shipped,Amazon,Amazon.in,Blazzer,XL,Shipped,1,INR,0,KOLKATA,WEST BENGAL,700028
408-9538794-2155529,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,725,BHANDARA,MAHARASHTRA,441904
405-1242524-5283558,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XXL,Shipped,1,INR,376,Opposite to Sri mookambika Temple kollur,KARNATAKA,576220
408-7363407-5092346,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XL,Shipped,1,INR,0,BHUBANESWAR,ODISHA,751002
408-6509771-4175560,27-04-2022,Cancelled,Amazon,Amazon.in,Trousers,S,Unshipped,1,INR,487,JAMMU,JAMMU & KASHMIR,180007
405-6976401-3986721,27-04-2022,Shipped,Amazon,Amazon.in,Socks,S,Shipped,1,INR,297,PUNE,MAHARASHTRA,411057
403-4681982-4428359,27-04-2022,Delivered,Merchant,Amazon.in,Blazzer,XXL,Shipped,1,INR,625,THANE,MAHARASHTRA,400610
404-6986314-0497121,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,L,Shipped,1,INR,435,JALANDHAR,PUNJAB,144022
402-4427854-7497134,27-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,XL,Unshipped,1,INR,653,JAIPUR,RAJASTHAN,302002
406-9583003-2797148,27-04-2022,Delivered,Merchant,Amazon.in,Trousers,3XL,Shipped,1,INR,399,DAVANAGERE,KARNATAKA,577002
407-0252141-8073951,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,M,Shipped,1,INR,1092,Amravati,MAHARASHTRA,444603
406-0006093-5553105,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,442,LUCKNOW,UTTAR PRADESH,226303
171-5354638-0421945,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,788,VASCO DA GAMA,GOA,403803
